$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,004300364b34500b20393636
$VAR,SESSION_ID,9bab3c02b932c3477e1f0e7b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$HUM,105272.181,48.8,17.7
$BARO,105272.189,96233.03,18.89
$IMU,105272.199,19.958,-13.793,28.625,-0.33349,0.01660,0.75781,18.02
$BARO,105272.230,96246.56,18.88
$MAG,105272.247,0.051,0.718,-0.238,15.7
$HUM,105272.263,48.7,17.7
$BARO,105272.271,96243.44,18.89
$IMU,105272.274,28.015,-33.325,19.470,-0.26123,0.04541,0.89160,18.06
$BARO,105272.312,96240.17,18.89
$HUM,105272.344,48.8,17.7
$MAG,105272.347,0.028,0.694,-0.270,15.8
$IMU,105272.350,27.832,-43.640,9.704,-0.06738,0.13623,1.04589,18.06
$BARO,105272.352,96234.96,18.89
$BARO,105272.393,96245.56,18.89
$HUM,105272.425,48.8,17.7
$IMU,105272.425,17.700,-36.499,-0.610,-0.03027,0.16601,1.00146,18.01
$BARO,105272.434,96249.22,18.89
$MAG,105272.447,0.000,0.673,-0.283,15.9
$BARO,105272.475,96245.17,18.89
$IMU,105272.501,32.287,-29.235,-21.728,0.04296,0.01806,0.95654,18.04
$HUM,105272.506,48.7,17.7
$VBAT,105272.510,3.916
$BARO,105272.515,96238.59,18.90
$MAG,105272.547,-0.019,0.630,-0.300,15.8
$BARO,105272.556,96243.61,18.90
$IMU,105272.576,32.531,-25.146,-19.287,-0.02832,0.65185,1.18554,18.04
$HUM,105272.587,48.5,17.7
$BARO,105272.597,96244.00,18.90
$BARO,105272.638,96242.85,18.89
$MAG,105272.647,-0.048,0.673,-0.285,15.8
$IMU,105272.652,-29.846,-33.935,-23.803,0.29589,0.08984,1.10644,18.07
$HUM,105272.668,48.6,17.7
$BARO,105272.678,96242.07,18.89
$BARO,105272.719,96248.05,18.90
$IMU,105272.727,-53.100,-13.305,-16.479,0.26904,0.15576,0.91210,18.01
$MAG,105272.747,-0.055,0.706,-0.252,15.8
$HUM,105272.749,48.7,17.7
$BARO,105272.760,96249.80,18.89
$BARO,105272.801,96247.46,18.90
$IMU,105272.803,-49.743,0.488,-8.605,0.16748,-0.06005,0.94140,18.03
$HUM,105272.830,48.6,17.7
$BARO,105272.841,96238.00,18.90
$MAG,105272.847,-0.046,0.720,-0.228,15.8
$IMU,105272.878,-31.738,0.549,12.878,0.19238,-0.08203,0.90869,18.08
$BARO,105272.882,96251.34,18.90
$HUM,105272.912,48.5,17.7
$BARO,105272.923,96244.59,18.90
$MAG,105272.947,-0.006,0.724,-0.222,15.8
$IMU,105272.954,-19.653,18.310,26.672,-0.00244,-0.10839,1.00195,18.08
$BARO,105272.964,96245.71,18.91
$HUM,105272.993,48.7,17.7
$BARO,105273.004,96244.20,18.90
$IMU,105273.029,-10.681,14.282,19.714,-0.04150,-0.20312,1.06152,18.08
$BARO,105273.045,96244.37,18.91
$MAG,105273.047,0.009,0.712,-0.219,15.7
$HUM,105273.074,48.6,17.7
$BARO,105273.086,96237.03,18.91
$IMU,105273.105,21.972,14.160,7.995,0.00732,-0.17431,1.11181,18.09
$BARO,105273.127,96252.29,18.91
$MAG,105273.147,0.025,0.675,-0.249,15.8
$HUM,105273.155,48.8,17.8
$BARO,105273.167,96245.90,18.91
$IMU,105273.181,50.720,35.766,7.812,-0.05517,0.01464,1.12060,18.12
$BARO,105273.208,96239.54,18.91
$HUM,105273.236,48.6,17.7
$MAG,105273.248,0.073,0.619,-0.243,15.8
$BARO,105273.249,96248.61,18.91
$IMU,105273.256,52.673,48.156,16.357,-0.26074,0.15722,1.12451,18.06
$BARO,105273.290,96235.27,18.91
$HUM,105273.317,48.7,17.7
$BARO,105273.330,96248.39,18.92
$IMU,105273.332,34.606,28.991,21.240,-0.19580,0.03076,0.92578,18.08
$MAG,105273.348,0.099,0.591,-0.264,15.8
$BARO,105273.371,96248.19,18.91
$HUM,105273.398,48.5,17.7
$IMU,105273.407,30.761,15.258,28.991,-0.14306,0.13085,0.92236,18.08
$BARO,105273.412,96237.96,18.92
$MAG,105273.448,0.108,0.552,-0.268,15.8
$BARO,105273.453,96245.29,18.92
$HUM,105273.479,48.7,17.7
$IMU,105273.483,12.878,8.483,30.517,-0.22998,0.12695,0.93164,18.10
$BARO,105273.493,96239.52,18.92
$VBAT,105273.513,3.911
$BARO,105273.534,96239.30,18.92
$MAG,105273.548,0.097,0.547,-0.274,15.7
$IMU,105273.558,7.446,-8.483,14.282,-0.09765,0.24414,0.86523,18.07
$HUM,105273.560,48.7,17.7
$BARO,105273.575,96249.53,18.92
$BARO,105273.616,96247.61,18.92
$IMU,105273.634,3.051,-6.408,-8.239,-0.05859,0.30078,0.87500,18.09
$HUM,105273.642,48.7,17.7
$MAG,105273.648,0.094,0.544,-0.267,15.9
$BARO,105273.656,96250.48,18.93
$BARO,105273.697,96247.78,18.92
$IMU,105273.709,-6.652,-0.915,-22.460,-0.07861,0.26367,0.89404,18.06
$HUM,105273.723,48.7,17.8
$BARO,105273.738,96248.00,18.92
$MAG,105273.748,0.076,0.564,-0.276,15.9
$BARO,105273.779,96242.37,18.92
$IMU,105273.785,-12.390,3.356,-34.484,-0.16845,0.26318,0.94531,18.09
$HUM,105273.804,48.6,17.7
$BARO,105273.819,96233.88,18.92
$MAG,105273.848,0.045,0.589,-0.267,15.8
$BARO,105273.860,96242.00,18.92
$IMU,105273.860,-20.324,-10.375,-48.889,-0.20214,0.13574,0.99511,18.09
$HUM,105273.885,48.5,17.8
$BARO,105273.901,96246.80,18.93
$IMU,105273.936,-6.225,-22.888,-47.546,-0.18115,0.16943,1.05908,18.11
$BARO,105273.942,96243.90,18.93
$MAG,105273.948,0.010,0.588,-0.276,15.9
$HUM,105273.966,48.6,17.7
$BARO,105273.982,96242.15,18.93
$IMU,105274.011,4.272,-18.066,-36.682,-0.17333,0.34277,1.13134,18.09
$BARO,105274.023,96243.51,18.93
$HUM,105274.047,48.7,17.7
$MAG,105274.048,-0.022,0.600,-0.267,15.7
$BARO,105274.064,96246.41,18.93
$IMU,105274.087,-11.962,-12.695,-55.664,-0.16796,-0.07373,1.13525,18.11
$BARO,105274.105,96241.39,18.94
$HUM,105274.128,48.6,17.7
